ENSEMBL,Cold,Minor cold,Pungent,Warm
ENSRNOG00000023095,0,0,0,1
ENSRNOG00000023520,0,2,0,1
ENSRNOG00000023538,1,1,0,0
ENSRNOG00000023588,1,0,0,0
ENSRNOG00000023688,0,1,0,0
ENSRNOG00000024128,0,1,0,1
ENSRNOG00000024904,0,0,2,2
ENSRNOG00000025121,0,0,1,2
ENSRNOG00000025252,0,0,0,1
ENSRNOG00000025691,0,0,0,1
ENSRNOG00000025702,1,0,0,0
ENSRNOG00000026037,0,0,1,2
ENSRNOG00000026497,0,0,0,1
ENSRNOG00000026745,0,2,1,1
ENSRNOG00000026764,0,0,2,2
ENSRNOG00000027037,0,0,1,1
ENSRNOG00000027433,0,2,0,0
ENSRNOG00000028616,0,1,0,0
ENSRNOG00000028629,0,2,1,1
ENSRNOG00000028668,0,1,0,0
ENSRNOG00000029128,1,0,0,0
ENSRNOG00000029179,2,0,0,0
ENSRNOG00000029778,1,1,0,1
ENSRNOG00000030483,0,1,0,0
ENSRNOG00000030877,0,2,1,1
ENSRNOG00000031004,0,0,4,0
ENSRNOG00000031266,0,0,0,1
ENSRNOG00000031529,0,0,1,0
ENSRNOG00000032261,1,0,0,0
ENSRNOG00000032805,0,0,0,2
ENSRNOG00000032908,0,0,0,1
ENSRNOG00000032959,1,1,0,1
ENSRNOG00000034013,0,4,1,2
ENSRNOG00000036693,0,1,0,0
ENSRNOG00000037815,4,2,0,4
ENSRNOG00000038001,0,1,0,1
ENSRNOG00000038746,0,1,1,2
ENSRNOG00000039300,0,1,0,0
ENSRNOG00000040287,0,1,1,0
ENSRNOG00000042084,1,0,0,0
ENSRNOG00000042224,0,0,1,0
ENSRNOG00000042419,0,0,0,1
ENSRNOG00000042962,0,0,0,2
ENSRNOG00000045615,1,1,0,0
ENSRNOG00000045636,0,2,1,1
ENSRNOG00000045679,0,0,3,2
ENSRNOG00000045947,0,2,1,1
ENSRNOG00000045949,0,0,2,1
ENSRNOG00000046357,2,2,0,4
ENSRNOG00000046619,0,0,1,2
ENSRNOG00000046864,0,4,4,5
ENSRNOG00000047466,0,0,0,1
ENSRNOG00000048849,0,0,0,2
ENSRNOG00000049244,0,0,0,1
ENSRNOG00000049955,0,0,1,1
ENSRNOG00000050828,0,0,0,1
ENSRNOG00000050841,0,0,0,1
ENSRNOG00000055229,0,0,0,1
ENSRNOG00000066870,0,1,0,0
ENSRNOG00000066878,0,0,1,1
ENSRNOG00000069176,1,1,0,1
ENSRNOG00000070745,0,0,0,1
