ENSEMBL,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSRNOG00000017165,696.4833952,0.713394182,0.235053301,3.035031535,0.002405105,0.012466441
ENSRNOG00000017164,994.7814548,-0.355677694,0.203436591,-1.748346712,0.080404009,0.190883266
ENSRNOG00000057499,98.12462195,-0.215596793,1.144244747,-0.188418425,0.850548657,0.916581187
ENSRNOG00000057492,2.464206081,4.908657531,3.927253329,1.249895823,0.211337606,NA
ENSRNOG00000057490,0.699757589,1.800835759,3.996550952,0.450597473,0.652279688,NA
ENSRNOG00000050445,9222.596515,0.372244381,0.148429587,2.507885318,0.012145608,0.044518087
ENSRNOG00000066516,15.27668855,-0.030900829,0.988639763,-0.031255904,0.975065457,0.987159129
ENSRNOG00000066512,1.72652168,-1.238045368,2.443786028,-0.506609562,0.612428798,NA
ENSRNOG00000057149,34.51059316,0.120281077,0.647368417,0.185800039,0.852601574,0.917352722
ENSRNOG00000057147,508.6711766,-0.466221835,0.33009505,-1.41238663,0.157836151,0.31015448
ENSRNOG00000058679,5.104525398,0.935595278,1.780026858,0.525607394,0.599161018,0.753797649
ENSRNOG00000027942,4424.643343,0.882691199,0.185506655,4.758272404,1.95E-06,3.68E-05
ENSRNOG00000027940,248.3435718,0.92591453,0.425945776,2.173784979,0.029721287,0.089954449
ENSRNOG00000053795,34.78284095,-1.029552335,0.699778217,-1.471255192,0.141222116,0.286472611
ENSRNOG00000053796,0.927306398,3.504066003,3.960748259,0.884697985,0.376319543,NA
ENSRNOG00000020638,25.97825414,0.353371683,0.937512517,0.376924763,0.706229518,0.826657084
ENSRNOG00000020635,772.2306121,-0.321963421,0.207962245,-1.54818208,0.121578465,0.257242657
ENSRNOG00000020634,672.6874275,-0.094508947,0.226456158,-0.417338827,0.676430593,0.808461163
ENSRNOG00000020637,19.96824495,-0.983760191,0.807942926,-1.217610996,0.223371834,0.397081981
ENSRNOG00000020636,26706.68385,0.373373009,0.19489719,1.915743418,0.055397763,0.144169338
ENSRNOG00000020630,21.04313918,-2.720333034,1.569574788,-1.733165604,0.083066239,0.195932933
ENSRNOG00000023480,2848.95915,0.323147507,0.195779957,1.650564812,0.098827469,0.222206891
ENSRNOG00000051792,1707.294953,0.561915161,0.200315328,2.805153084,0.005029269,0.02217982
ENSRNOG00000023485,3761.686449,0.640498389,0.203746204,3.143608945,0.001668783,0.009316006
ENSRNOG00000065156,1442.459824,-6.607166711,1.100176915,-6.00554931,1.91E-09,9.42E-08
ENSRNOG00000065155,3.776228506,1.060127972,2.289307484,0.463078018,0.643308446,0.786192527
ENSRNOG00000065152,0.319512619,2.009009471,4.05566008,0.495359431,0.620346426,NA
ENSRNOG00000042492,2006.583593,-0.384323202,0.187745759,-2.047040658,0.040654093,0.113967439
ENSRNOG00000042497,24.82413658,0.912132517,1.373084262,0.664294641,0.50650175,0.679218847
ENSRNOG00000042496,646.4081228,0.746993358,0.333465801,2.240089853,0.02508509,0.078491247
ENSRNOG00000010248,214.0459636,-0.307725291,0.533590946,-0.576706357,0.564137838,0.725566638
ENSRNOG00000010241,821.8193564,0.309719682,0.219640559,1.410120622,0.158504069,0.310923691
ENSRNOG00000010240,125.693196,-1.810533767,0.481264381,-3.762035664,0.000168536,0.001468939
ENSRNOG00000027719,47.13924128,-0.400269257,0.493752929,-0.810667105,0.417556869,0.602877233
ENSRNOG00000010244,30.70245833,-1.465193255,1.215881634,-1.205045963,0.228185559,0.402820914
ENSRNOG00000051420,2222.116381,-0.045492398,0.219820911,-0.206952094,0.836047272,0.908540836
ENSRNOG00000059237,0.146597432,-0.620448363,4.080472857,-0.152053055,0.87914509,NA
ENSRNOG00000067745,42.00052604,0.818341692,0.730712011,1.119923691,0.262746282,0.443763906
ENSRNOG00000067740,1199.557678,-2.770513752,0.560768119,-4.940569302,7.79E-07,1.68E-05
ENSRNOG00000067741,179.5179192,0.327142489,0.40240149,0.812975342,0.416232196,0.601612383
ENSRNOG00000067742,36.6700249,1.143630797,0.754344143,1.516059756,0.129504243,0.269546859
ENSRNOG00000062512,57.10818214,-0.35652512,0.551142394,-0.646883861,0.517707112,0.688438393
ENSRNOG00000062516,25.89895157,1.065086995,0.997235723,1.068039352,0.285502761,0.47029686
ENSRNOG00000062517,11.97650779,0.243010553,1.408263721,0.172560402,0.86299698,0.923764485
ENSRNOG00000062514,215.6177932,5.529219751,1.643060391,3.365195693,0.000764894,0.005018664
ENSRNOG00000027360,11957.14193,1.016537066,0.210313445,4.833438333,1.34E-06,2.67E-05
ENSRNOG00000027365,419.326496,0.593107785,0.21347624,2.778331607,0.005463883,0.023690284
ENSRNOG00000029360,8025.675133,-1.169535254,0.32198284,-3.632290638,0.000280916,0.002223409
ENSRNOG00000027368,1955.341511,0.091288506,0.182455845,0.500332047,0.616841292,0.766603446
ENSRNOG00000063371,1031.716597,-0.263239724,0.193199482,-1.362528101,0.173031282,0.331058912
ENSRNOG00000064208,0.730867723,-0.333596485,3.9756518,-0.083909885,0.93312808,NA
ENSRNOG00000064209,602.2918571,0.521528676,0.265685794,1.962952812,0.049651657,0.132824197
